P0;P1;P2;P3;time;P3_2
-92.07110635;-86.52465416;-93.18039679;-540.2244433;232;-129.7869812
-92.07110635;-87.6339446;-94.28968722;-540.2244433;233;-129.7869812
-92.07110635;-87.6339446;-94.28968722;-540.2244433;234;-130.8962717
-92.07110635;-87.6339446;-94.28968722;-539.1151528;235;-133.1148526
-93.18039679;-87.6339446;-96.5082681;-540.2244433;236;-133.1148526
-94.28968722;-88.74323504;-96.5082681;-540.2244433;237;-134.224143
-94.28968722;-89.85252547;-96.5082681;-540.2244433;238;-134.224143
-96.5082681;-90.96181591;-97.61755854;-540.2244433;239;-134.224143
-97.61755854;-92.07110635;-97.61755854;-540.2244433;240;-136.4427239
2283.096143;2153.374771;2309.040417;12634.86161;241;3191.145745
3569.213058;3328.591953;3609.316576;19530.41303;242;4972.836171
4088.490677;3770.496958;4088.490677;22168.70501;243;5633.0316
4554.889666;4251.230355;4554.889666;24697.62397;244;6326.235647
4969.159715;4637.882401;5024.372601;26943.88824;245;7012.036487
5353.300236;5000.335385;5353.300236;28648.98038;246;7529.916816
5562.831015;5257.180959;5623.961026;29770.31543;247;7824.641428
5634.70184;5387.022639;5758.541441;30278.78242;248;7987.654257
5623.961026;5318.310971;5685.091038;29953.70547;249;7885.771439
5470.955186;5117.990336;5470.955186;28825.46281;250;7706.399241
5134.798373;4858.733944;5134.798373;27054.31401;251;7232.88803
4706.719322;4453.669896;4807.939092;24798.84374;252;6629.894958
4270.201374;3997.635329;4315.629048;22259.56035;253;5996.452993
3769.730646;3569.213058;3809.834163;19650.72358;254;5293.664311
2438.761789;2334.984691;2490.650338;12712.69443;255;3424.644214
-105.3825916;-99.83613941;-106.491882;-543.5523146;256;-148.6449187
-107.6011725;-99.83613941;-107.6011725;-544.661605;257;-148.6449187
-107.6011725;-100.9454299;-107.6011725;-544.661605;258;-148.6449187
-108.7104629;-102.0547203;-108.7104629;-545.7708955;259;-150.8634996
-108.7104629;-102.0547203;-108.7104629;-545.7708955;260;-150.8634996
-109.8197534;-102.0547203;-108.7104629;-546.8801859;261;-151.97279
-109.8197534;-103.1640107;-109.8197534;-546.8801859;262;-153.0820804
-110.9290438;-104.2733012;-110.9290438;-546.8801859;263;-153.0820804
-110.9290438;-104.2733012;-110.9290438;-547.9894763;264;-153.0820804
2620.371709;2438.761789;2594.427435;12816.47153;265;3606.254135
4050.455268;3769.730646;4050.455268;19811.13765;266;5574.388933
4588.195093;4315.629048;4588.195093;22441.27105;267;6359.874387
5111.598403;4807.939092;5111.598403;25051.89316;268;7186.603695
5631.714344;5300.43703;5631.714344;27330.37844;269;7840.229773
6000.402463;5647.437612;6059.229938;29119.60019;270;8353.501467
6296.391149;5929.611082;6296.391149;30320.48553;271;8680.461584
6377.739446;6068.140444;6377.739446;30526.46162;272;8854.531464
6357.52116;5990.741093;6296.391149;30198.22551;273;8802.721606
